日期	金风科技	吉祥航空	保利地产
20180103	-0.010895049	0.048697576	-0.012388321
20180104	-0.005230137	-0.013047715	0.004835933
20180105	-0.018523949	0.011194147	0.052360953
20180108	-0.00160385	-0.029496961	0.021353124
20180109	0.007462721	0.004448689	0.005108568
20180110	-0.018762276	-0.033529898	0.010139504
20180111	-0.016917184	0.002619517	-0.005056901
20180112	0.004393198	0.010409983	-0.005082603
20180115	-0.04310771	-0.016313575	0.055741983
20180116	0.015328146	-0.012578782	0.063031362
20180117	-0.014756227	-0.003336673	0.01404123
20180118	0.050721376	-0.008053735	-0.020282385
20180119	-0.009282076	0.011390408	-0.016064603
20180122	0.022241221	0.032123378	0.013785399
20180123	-0.012959145	-0.004526358	0.012471817
20180124	-0.023646964	0.011598068	0.005057611
20180125	0.04355615	0.027173868	-0.042364664
20180126	-0.019909186	-0.000623636	0.005249356
20180129	0.013495481	-0.003124026	-0.012291639
20180130	-0.019491684	-0.010062978	-0.027464413
20180131	-0.008786438	0.003785493	0.042080282
20180201	-0.066120946	-0.001890955	0.020109842
20180202	0.004703124	0.001890955	0.046675139
20180205	-0.044985096	0.021800926	0.014551591
20180206	-0.018576386	-0.011152532	-0.035951584
20180207	-0.021479032	-0.017599449	-0.098420948
20180208	0.015209419	-0.014692056	-0.041868033
20180209	-0.064957896	-0.099372474	-0.099210565
20180212	0.047190931	0.045841359	0.021611158
20180213	0.017766965	0.026793297	0.041208127
20180214	0.001257071	-0.014647399	0.005938652
20180222	0.031532752	0.057977811	0.015018239
20180223	-0.019668735	-0.006349228	0.013518069
20180226	0.038360868	0.026400025	-0.035799462
20180227	0.018349139	-0.014370757	-0.039194206
20180228	0.035718083	-0.010120263	0.008236148
20180301	0.00451723	-0.012152372	0.004773279
20180302	-0.019340762	0.037263547	0.006779687
20180305	-0.00923261	0.00433035	0.004045859
20180306	0.014388737	-0.011173301	0.045387599
20180307	-0.036663984	-0.011299555	-0.009043989
20180308	0.023433996	-0.008877674	0.008400696
20180309	0.021764891	0.005716116	-0.018837842
20180312	0.029586305	0.01695488	-0.045614883
20180313	-0.008839837	-0.026499973	-0.002749143
20180314	0.019236647	0	0.002749143
20180315	0.029500664	0.006373508	0.001371742
20180316	-0.002116403	-0.00957556	0.001369863
20180319	-0.001059884	-0.037247037	-0.037661355
20180320	-0.009589844	-0.001332445	-0.010000083
20180321	0.029018127	-0.016129382	0.005726573
20180322	-0.007830894	0.00809721	-0.02823206
20180323	0	-0.041858598	-0.023023668
20180326	-0.065517337	0.000700525	-0.020494076
20180327	0.018847565	0.028307033	0.004590674
20180328	0.002741981	-0.017164857	-0.001527884
20180329	-0.027201233	0.021918686	0.050681486
20180330	0.019504658	0.006079046	-0.021300842
20180402	-0.070886811	-0.016978337	0.012541662
20180403	0.004138345	-0.011712156	-0.00809721
20180404	0.002357102	-0.009749381	0.011756197
20180409	0.018081566	-0.007022501	-0.016943315
20180410	0.008633147	0.059504731	0.059837668
20180411	0.015918471	-0.012696462	0.01734348
20180412	-0.037349932	-0.008102678	-0.010369951
20180413	-0.043068857	-0.000678196	-0.026048639
20180416	-0.017263067	0.017485314	-0.057242331
20180417	0.00558141	-0.024975986	-0.006820792
20180418	-0.009944147	0.004092775	0.023300566
20180419	0.055873669	-0.004776536	-0.001486989
20180420	-0.019684501	-0.026335548	-0.002980628
20180423	-0.018851273	0.003505086	0.010393561
20180424	0.027846836	0.044482188	0.039817058
20180425	0.002385213	0.003341132	-0.017180093
20180426	0.001785183	0.000666889	-0.018951004
20180427	0.024663611	0.019802627	-0.03443454
20180502	0.018391323	0.006514681	0.003041827
20180503	0.019735628	0.016742181	-0.009919959
20180504	0.002230899	0.01458029	-0.000767165
20180507	0.002781643	0.006273546	0.036175761
20180508	-0.008928631	-0.003759403	0.021962815
20180509	-0.003931485	-0.011363759	0.005776189
20180510	-0.002817697	0.007590169	0.000719683
20180511	-0.002259888	-0.044451763	-0.014493007
20180514	0.010129518	0.069344149	0.001458789
20180515	0.018858019	-0.021118797	0.017341475
20180516	0.003291281	-0.004403908	-0.022456576
20180517	-0.033977092	-0.017170533	-0.003669729
20180518	-0.015991203	0.008304104	0.020379162
20180521	0.008598505	0.028842125	-0.009410131
20180522	-0.018433702	0.001235331	-0.040821995
20180523	-0.00291121	-0.004950505	-0.026095111
20180524	-0.022406598	0.001859313	-0.012519725
20180525	-0.037052523	-0.011208087	0.003144657
20180528	0.031071644	0.01983946	-0.011049836
20180529	-0.016939304	0.000613685	-0.013583908
20180530	-0.022209426	-0.038779093	-0.031878466
20180531	0.006838696	0.00508907	0.024611579
20180601	-0.035954677	0.057334653	0.02005683
20180604	-0.105574625	0.017815198	0.053356296
20180605	0.068278841	0.029575945	0.008249016
20180606	0.012587116	0.002853069	-0.008249016
20180607	0.020847661	0.005681833	0.038409448
20180608	-0.014285957	-0.016567074	-0.055114468
20180611	0.001960144	0.014865911	0.041250693
20180612	-0.022443186	0.027429651	0.001468429
20180613	-0.019548988	-0.011663559	0.004392394
20180614	-0.006830628	-0.020316726	-0.002926118
20180615	0.011584457	0.00795007	0.024603267
20180619	-0.05286349	-0.030435884	-0.036394118
20180620	-0.000714541	-0.03078988	0.047765954
20180621	0.001428572	-0.025579957	0.002117897
20180622	0.028844772	0.033366759	-0.00778765
20180625	-0.036008126	-0.052047253	-0.072960525
20180626	-0.053907477	-0.00567288	-0.046956983
20180627	-0.033953879	-0.04923274	-0.045909701
20180628	-0.005509656	-0.003992021	-0.016067999
20180629	-0.002370606	0.026966448	0.039286289
20180702	-0.011938065	-0.019659873	-0.102632001
20180703	0.026857854	-0.037078734	0.012635547
20180704	-0.051990916	0.056738607	-0.029119437
20180705	-0.092850154	-0.025634003	-0.011142177
20180706	0.056908132	0.02108115	-0.012212458
20180709	0.095696952	0.041499731	0.052474071
20180710	0.003859518	0.006234434	0.01247788
20180711	-0.025752496	0.013580456	-0.025113427
20180712	0.019570096	0.004282662	0.018002286
20180713	-0.019570096	-0.011667311	-0.003574624
